"","X1","X2"
"87",87,"0111010111111101111111111111111011111001011111111111111111111111011111101111011111111111111111111111"
"88",88,"1000010110011101010100011101101000011001110011001000000101000010001011100110000101111100001010111000"
"89",89,"1111111110111111111111111111111111111111111111111111101111111111110111111101011111011111111111111111"
"90",90,"0011010100110100111111011010011000101111110010011000001110101010100100111001000000100101001110010000"
"91",91,"0011000100100000110011011000000000100000000000001010000000000000000100010001000001000010000000000000"
"92",92,"0000000000000010000000000000000000100000000000000000010000000000001000000000000000000000010000000001"
"93",93,"0111000111111010111011111111101010001000101100011010110110111011111111001001010101011110110011011011"
"94",94,"0000000100100010010001000000100001000000000010001010011100000000100000010000000101000000000000011000"
"95",95,"1011000110001101001111111001000010011001010000011110001110111000011111101001000000000100010100110000"
"96",96,"0000000000000000000010000100000000000000100000001000000000000000000000000001000000001000000000000000"
"97",97,"1111110110111111111111111111111110011001111010101001111111011110111111111111111101110111110111111111"
"98",98,"1001110110111111111011111011111111111101111111111011001111111111111110111111101101111111101011111111"
"99",99,"1011010100011111001011011101010101100100101000001101111110011011011100011001000011011101001110101100"
"100",100,"1011011110011110011111111011100000101111110111101011110100011110011000001101000001101111111001111011"
"101",101,"1011010110100100111001001111001000100101000000001011010110001000011110001000110001111000000001011000"
"102",102,"0011110100011101011111111001000000111101111011101110011111111011111101111100100001111111101001011010"
"103",103,"1000000110000101111011011100100000100000010000001000000100000000000000010001000100001000000000000000"
"104",104,"0011000100011001111010111101000000100001010000101000101101100110010001101010010000011000010011000001"
"105",105,"1101110110000111111110111101110011110001111010111110101111111011101001100110101001111111010110101001"
"106",106,"0000000000000000000010000000000000000000000000000000000000000010000000000000000000000001000000000000"
"107",107,"1011000100001111111110111011000100100100000100111010000110101010000001101001000010011000010001110000"
"108",108,"1111110111111111111111111111111111111111101111111011101111111110110011101111011111111111111111111111"
"109",109,"0000000000000000000000010000000000100000010000001110000000000001000100000001000000000001000000000000"
"110",110,"0001010100110000011000111001000000100000100000001010000000000011000101101001000100001101000000000000"
"111",111,"0000000110011100001001111111000000100010100100101011010100101010001110010010001001001001000001010000"
"112",112,"0011000100110101001101001011100000000100100010001000000100001101101001010001000001001001100100111000"
"113",113,"0011101110110100101001111000100000110101000000101100000100101011000000111100000101000011100101100001"
"114",114,"1011010111111111111111111111111111111011111011111011111111111110111111111111111111111111101111111111"
"115",115,"0000000000000100100000101000000000100000100000000000000100000000000000000000000000000000010000000000"
"116",116,"1011111111011101011111111111111111010000111001111111111111111010110101001111111101111111101111011011"
"117",117,"1011110111111111011111011101111011111011111001111111111111111100110111101111011111011111111110111111"
"118",118,"0111010111011100011111011011111110111000111010111111111111111010111111101111011011011111010001110111"
"119",119,"1011000110111101011111011011101010010100101111111011110111011111011101101111101111101101111011111111"
"120",120,"0000000100010000001111010111000010100000100000100010000100010010001000000001010001011000000010000001"
"121",121,"0010110100010100101101100100000000000000100000010011010101101111000000000001000000011100100001000000"
"122",122,"0000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000"
"123",123,"0011001110011011001111011001000000100000000101101100111101011011010100101010010000001010100100001001"
"124",124,"0011010110011101111011011101010010111011110100101111000111111110100100101001110001111110110111110001"
"125",125,"0000000000010000000000000000000000000100000000110000000000000010000000000001000000000000000000000000"
"126",126,"1111111111111111111111011011111011111001011100111111111111011011111111111110111111111111111111111111"
"127",127,"0000000100001010011010010000000000000000000000001000000000000010000000000001000000000000110001010000"
"128",128,"1011000010111101101011111111100000011100000000011110101111111000010111110000001001110011000110010010"
"129",129,"1000010110111000011011011101110110110000110000111011011110111010010001111000001101010011010011110001"
"130",130,"1111110110111111111111011111001111110110101111111111110111111010101111111010110101001111100110111101"
"131",131,"0001000000000101101101011001000000100000010010001010010100001001001001100001000000011011010000000001"
"132",132,"1111111111111111111011111111111100111110101011111111101111111111111110011111111111111111111011011101"
"133",133,"0010000000110010001010001100100000000111000100011100000110001000000001000111000001000001010000000001"
"134",134,"1011010111111111111111111111011011111001001110111101011111011111011101011101001111111111101111110111"
"135",135,"0010000100110100011111000101100000010100000100011000001100111011000000000000000000001001000000001001"
"136",136,"0000000100000000000000011000000000100000000100000000010100000000001000010011000000010000000000000001"
"137",137,"1111100110011111111111111111010110010000101111111010111111111111110000111110011111111111101111111011"
"138",138,"0000000000110100001010011101100000000000110100011010011100000001001110100000000000010001010010111000"
"139",139,"1001000100010001101111111001100000000000100100101110001111101111110100010000010010001001000000110001"
"140",140,"1111111110111111111111011111111111011000111111111111111101111110110111111111111101111110111111111111"
"141",141,"0011010111101101110011111101100000001101011000101000111111111101100101011000010001011011010010000110"
"142",142,"0101000000011111001010001001000000000010010000101000001010000110010100000001000001001100000000010000"
"143",143,"1111111110111111111111011111111111111011111001111111110111111110111111111111111111111111111111101011"
"144",144,"0011000110100000010001000000000000000000010100001010000000001000001001000000000100010001000011000000"
"145",145,"1111111111110111111011111111111001111100011110111111101110111011111011111111011101011111111101011011"
"146",146,"1111101111111101111111111111111111111101111101111111101111111111111111111111011111111111111111111111"
"147",147,"1111111111111111111111111111110111111111011111111111111111111110111111101111111101111111111111111110"
"148",148,"1111011111111101111111011111111111111110111111111011101111011111111111101111111111111111100011111101"
"149",149,"0000000000100010001000100000000000000000010000001000010100000000000100010000000000000001000000000000"
"150",150,"0000000000000011000010010100000000000000000000001000000010100001001100100000000000010001000100000000"
"151",151,"1111101110111101111111111010101111000111101010111111110110111111110111101100111101101111111100011111"
"152",152,"0010000000000000011000001001000000100000000000001000010101001001101000000001000001001001000000001000"
"153",153,"1111110110111111111011111111111110011101111011111011110111111110111111101111111111111111110111111111"
"154",154,"1111111111111111111011111011111110111001001111011111001111111101110110110101111101011111111111111101"
"155",155,"1011000110110101011111111000000101001010111000001100010100101010110011001001011101011011100010001010"
"156",156,"0011110110111111111011111101110110111101111111001111110111111010010101001011011101011001111011111111"
"157",157,"1001000000110110010001100001000000000100010000001000000100000011000000011001010001000100010000010000"
"158",158,"1111110110011101101111011111000100010100111000101101111110011011111001101010011101111101111010000101"
"159",159,"0111011111111110011111111111101100111011011011111111101111111110110110101101011111111111100110111101"
"160",160,"1111011111111111011111011111111111111111011111111111101111011111111111111101111101111111110001111111"
"161",161,"0011000100100101111111111010010100110000100011011100000110101011000000000001000101010010100001000011"
"162",162,"0000000000000000000000000000000000000100000000100000000000000000000000000001000000000000000000000000"
"163",163,"1000000110110100011101010100000000010000000100101110000010001011011100000000000001001001000001010001"
"164",164,"0000000100111010001000010100000000010101100100011110000100100010001100001010000001010000010000001000"
"165",165,"1000000000111000000010000010000000000000000000100000010100000000000000000000000100000000000010000000"
"166",166,"0010000000000101000010101100000000000100010000011000010100000000000000000001010000010001000110011000"
"167",167,"0011000110110100001011111011010001110000000000101001100110100010011100100001000100010000100011101010"
"168",168,"1010000100010000000001011000100000000000000000001000011000000010100000100000000100010000010100000011"
"169",169,"1011000110101100011101011011000100001001010110111001111110111010110111100110110111000111111101111001"
"170",170,"1010010110010110111001111001100000110100010110011011110110001010001101001010011111000010101011010001"
"171",171,"0001000100010011010000011000000000100100010000001000000100000000100000000000000000000001000010010000"
"172",172,"0011100100111011010000011001000000101001010010011101101110101011111100000011100111101001100000000011"
"173",173,"1101000100111000011011011111000010110100010010111011111101111010010111101001001011011101100000110010"
"174",174,"0000000000000010000000000100000000100000010000100000000010000000001000000000000000000000000100000000"
"175",175,"1001000110011001000111111111100010110100000000001000100110001010000100000000000001000001000000110010"
"176",176,"1111010110101101101111011111111011111000111011111010111111111011010011101001101101111101000100010110"
"177",177,"1111111110011111101111111101111110111110111111111101111111111111011111111101110111111111111111011110"
"178",178,"0000000010001001111000011000000001000100011110001110100111001010010001101001000001011001010010110000"
"179",179,"1000000000100000001100100001000000100000000000011000000000001000001011000000000100010001000000000010"
"180",180,"1101100110110100011101011011000000111100111000111001101011111110101000101100001101101111011011011001"
"181",181,"1011000110011111111111011001111110001101000000111011111101011011111101111100011101011111111100010101"
"182",182,"1011000111111101111111111111100110011000111111111111011110111011101111101110101111111010100000011011"
"183",183,"0000000000000001000100010000000000000000000010100000010000000000000000000000000000000000000000001000"
"184",184,"0000000000000000000001010100000000000001000000000000010100000011000000000000000100010000000000000000"
"185",185,"0011001110111101010111011011101010011001111111111101101100111111011101101101001101001111111011010000"
"186",186,"1111111111111101111111011111111111111001111111111111111111011111111111101111111111111111111111111111"
"187",187,"0000000000000000100100010000100000000100000100111000010000000000000000000000000000000000000000000000"
"188",188,"1111101110111111011110111111110111111011011001101111111111111111010011011001011101011110100011111110"
"189",189,"0011010110111010111111111110111110011001100101111010101111111001110111011111110101111101110100011111"
"190",190,"0011000110010000011010111100000000100000010100001100000101000010000001001001100001010101010001000000"
"191",191,"0001000101011101011111011111000111011100100100001101000111011000110100001011011101001011001010000001"
"192",192,"1111100110101111111011111101000000111001101000011111111110111010111111001101110111111111100011110101"
"193",193,"1111011111110110111111011111000011001100110010101101111110011111101101101111111111011111111011110010"
"194",194,"0011000110001101111101111100100000110100010100001010011100101011001101010111000101001101100100010001"
"195",195,"0010000000000100000000111000000000100100000010001000010100000011000100000001000000000001001000000001"
"196",196,"0010000100001001000110011000000000000100000000001000010010101111000001000000000000010001000000000000"
"197",197,"0011001100111101111011111101100000000100111010111010011100100011101111001100011001101101110101011111"
"198",198,"1011001110010011111011111111101010110101011010001001011110110000011000111010001011011101100111111001"
"199",199,"1011000110111111111011011011001111101100010100101110100111011010010101111110111111001110011010110011"
"200",200,"1111101110011111111111011111011111011101111100111111100111111111111101111101111101111111111001111111"
"201",201,"0011000110111101011111011101100000000100110110001111011110001010100100000100010001111000000011101001"
"202",202,"1111111110111111111111011111101101011101111010111111110110011111101111001101101111101110101111110101"
"203",203,"0010000100010010001011101000100000000100000100011100010110001010000001010000000001000000000010011000"
"204",204,"1010010100110010110011011010000000111000000110101110000110000011010101000001000101101111110000011000"
"205",205,"1011011111111101111111111111111111101001111111111111011111111011111111111111111111111111110111111110"
"206",206,"1111111110011101111011111111011010111100010111111110111111001000110101001101101011011111111001111110"
"207",207,"1011111111111111111111111111111111111101011101111111111111111010011111101111011111111111111111111111"
"208",208,"1000000100100100001110011100100000010100000110111100100110100010000001010000000000000000000010010000"
"209",209,"0111010110011111111111001101010001010110000000101100011110101000010101101010101001111101011101000011"
"210",210,"1001110110111111011111001000000010101000011010101010100111101010110011111011001111111101110110111001"
"211",211,"0000000000010000000010000000000000000110000000001000000000000010001000000001000000000000010010000000"
"212",212,"1011010010001111111111011111010110111001101000111100101110111011001111101011111111011101111011111101"
"213",213,"1011010111011001111111111101100110111101111111111011001111011111111111111110000101111011111011011101"
"214",214,"1111111110111111111111111111011111011001101110111101101111111111111111111111111111111111111111111111"
"215",215,"0000000100100011010010011011100000001000000000001101000100000000001000000000000000010100100000001000"
"216",216,"1111001111111110011111111111011111111011011011111111101111111001111101111111111101111111111111111111"
"217",217,"0000000000000000000100000000000000000000000000000000011000000000000100000000000000000000000010000000"
"218",218,"1001000100100000001110101010000001000000010110101110010100000001010000000001010101011000000000001010"
"219",219,"1111000110110011010101001101110000110001111010101001001111011001111101001010000101011111110000110000"
"220",220,"1011010110111101110111111001001110111001101110101100010110011111111011010000111011011011101000100010"
"221",221,"0000000000100100100000100000000000100000100100001000000100000000000101000000000000000000010000000000"
"222",222,"1111111110111111111111011111111111111000111011101111110111111110110111101111111111011111111011111111"
"223",223,"0001000000010001101010011001000000000101000100001100101110000011101001000000000000000001110000000000"
"224",224,"1000000000011011111100110100000000000100110000001001001110000010000000010010000000000101010100000000"
"225",225,"1111011110111010110111111111010011111011011000111011011111111011100101101100101101111111000111111110"
"226",226,"1010100100000111000111000000000100000100000101101000011100001111001101011000000000001001010010001000"
"227",227,"1011011110110101110111111001100010110100000011011101110101001001000101100010000111010111110111000111"
"228",228,"1011000110100111111010111101101101111101011011011101101111101110100101101001010011111101010111110011"
"229",229,"0111101111101111111111111011101101111101101110111111111111110110111111111111111101111111111111111111"
"230",230,"0000000111101101111111111010100110010101110010011111001111111010010010000001000111011001010101010001"
"231",231,"0000000000010000000000000000000000000100000100001000000100100100001100000000000000000000000000000000"
"232",232,"1111111111111111111111111111111111111111111111111010111111111010111111110111111111111111100111111111"
"233",233,"1011011100000101101010011101000000110000000000101100000110001010010100000000010001000001101010101000"
"234",234,"0000000000000000000001000000000000100001010100000000000010000011000000000000000000000000000001000001"
"235",235,"1000000000111100001010010110000010101000110000111000001010100111010100000010000001010011000010001000"
"236",236,"1111101110011111111111111111011011110111011110111111111111111010111111101111000111111111011111111111"
"237",237,"1000000100010101011101011010000000010100010000001000001100001100101101000000000101001010000100000000"
"238",238,"1001000110111101011011101101100110001101000011111001011100101011010100001000000000111000100010011010"
"239",239,"0000000000000000000000100000000000000000000000000100000000000000000000010000000000000000000000000000"
"240",240,"1010000110001001010101011000000010000101010000011111101110001010011001010100000101011100111000010000"
"241",241,"1111111111111111111111111111111111111101111010111111111111111111111111101111111101111111111111111111"
"242",242,"0010000000110000001001010010100000100000000100001100010100000000100000000000000000000101000001000000"
"243",243,"1000000100000010000101000001000000100100110000001000000100001000001100000000000000000000000000001000"
"244",244,"0011010010011010010001111011000100010000100010101111101110100001111101011000010000001001100001010001"
"245",245,"0011000100110101010111011101000000100101010100011000100110100010110000001000000001111001100001001001"
"246",246,"0000000100000100000001011000000000100000010100001110010000000000000100000000000000000001000010000000"
"247",247,"0000000000000000001000001000100000000000000000001000000000000000000000000000000000000000000000000000"
"248",248,"1011010000001101100111011010100000100000100010000010011100111011001100001000001100001001000000110100"
"249",249,"0000000000000000001000000000000000100000010100100010010000000010000000000000000000000000000000000000"
"250",250,"1011100110111101001111011100000100110001101111111101010110011111011111111010000001111101101101010110"
"251",251,"0011100110011001111011011101111100011110011111111010100111111110101111111101110001111011110001011100"
"252",252,"0110000110111110111101100111110011100100110111001111000010101010101101011010000001011011100001101101"
"253",253,"0111010110111101111011110111111010111100111110111111110111011111111111101101101101011111111100011011"
"254",254,"1011110110111001011011111111001000100000000100111111111111001010110111001000011111101111101011010000"
"255",255,"0000100100010001000000010000000000000000010000000010000000100001000000000000000001001000000000000100"
"256",256,"1111101111111111111111111111111111110111111011111111111111111110110111111110101111111111111111111111"
"257",257,"0000010100000101000010110000000100101000010000001101010100100000000000000000000000000001000010000000"
"258",258,"1001001100010110000111111001100000100100100100011000000000101000101100001001000100001011001000100000"
"259",259,"1111110111111111111101111001111111111100111111111111100111111011111111111111011111111111101011111011"
"260",260,"0000000000010000000000010000100000000000000000000000000100000010001000000010000000000000000000001000"
"261",261,"0010000100110000010101011000000000100100010000001100000000100010001000100000000001010000001000000000"
"262",262,"0000100100001100001110011111100000000000110010101000010110001001001000001001000001001000000010000011"
"263",263,"0110010110010000001000010100100000100001100000001010011100001011000100000000000000000000000000000000"
"264",264,"0010000000010001000000001000000000100100000000100000010100000010001000000001000000000000000000000000"
"265",265,"0011011110111111111101111111100110111000111010011111101101111011001110011010111101011111001111011101"
"266",266,"0011000000011101111111011100000010001100000100110100010100001100100000001001000001001101010001000001"
"267",267,"1111011111110110111011111111111011111000011111111110110111110011110111111011011101011111111100011001"
"268",268,"0000000100010011111101011001100000010000100000101100011111001010100101001001100100010001001010000001"
"269",269,"1000100100010010010010110000000000000000000000101000110000100010000000011001000011000000000000000000"
"270",270,"0010010110001110111111111001000010110000001000111000010110101100110001001010101101011011010010000001"
"271",271,"1011110110101111011011011001100100011001111010011111110100011011111011110110010001001111111110010001"
"272",272,"0000000100000111011011000100000000101000100000001000010000101000011000110000001001001000000000000000"
"273",273,"1011000100110101111000111101001010010100010110001110010101001010000100010000000111001101001101001011"
"274",274,"0010100100101111011110111111000000001100000000011110101100101010101011100000000101010001000000000001"
"275",275,"1010110110110101111111011011110011011101110011101111100110111110110001001100010011011111111100100011"
"276",276,"1011101110110100011111101101100010101101100010101110101101100111000100100100000101000001100011100101"
"277",277,"0111111111101111111111011111010111111010111111111111111111111111111111011111111111111111111111111111"
"278",278,"0010000100110010111101011100000000000100110100101011001100000010100101001000000101011011101010000001"
"279",279,"0010010111010110000111011101000100001000000000101101010101101000011100100011100101001101100011001000"
"280",280,"0001010110111100111111111111110000101000000000001100110101111100011100101001100001000001010011011001"
"281",281,"0001000100011010101010101100000000000000000000101000000000000000001000010000000000000001000000000000"
"282",282,"1111000110111101111111011111001011111101010000111001111101001011111110111101010101011011111001001101"
"283",283,"0000000000000010010000000000000000100000000000000000010000000000000000000000000000000000000000000000"
"284",284,"0000000000010010000001001100000000000010000000101100010000000010000001000001000100000001000000000000"
"285",285,"0011000110011110111011101111000010010000010110101110110100111001010101001001010101111101010100100001"
"286",286,"1011001100011101111001011101100010110010010000111010001110001110010100001011001111011101100110111001"
"287",287,"0000000000010001001100110100000000000100000000001100010100000000100000000011000000001000010000000000"
"288",288,"0111000110111100011011011001100010111000001100111101001100111011011111001000010101111101110001111101"
"289",289,"1111011110111111011111111111111000001100111010111111101111011011100101111101011101011111111011110110"
"290",290,"0011000100001101001001111001000000000100010100111001111100000001001001000010000000010011010000010000"
"291",291,"0000000000000000000010000000000000100000010100000000000000000000100000000000000000000000000000000000"
"292",292,"0000000010011000001000000110000000100000000000001000000000000010000100000001000000000001000000000000"
"293",293,"0011010100110111011111011111110111100101111111111011111111111111111111111111111101011111101001111110"
"294",294,"1111001110110111101011011111111111010100101111001111100110111111111111101111011111111011110110111111"
"295",295,"1011000100100101111011111110100000100001111010001000010101101011000001011000000000001000000000010000"
"296",296,"1000000100011110011011111000000000001100000001101110001100011011110100010001100001011001100001010001"
"297",297,"1011010111110110011111111011101010111000011010101111000110111010110111110101010101111111100010001010"
"298",298,"0000000100010100000000000100000000000000010100101010001100000000001000000001000001011000000000000000"
"299",299,"1011010110101111011101011010110000110100001000111110010101101111111111110001100010100100000111100110"
"300",300,"0000000000000000000010011000000000000000000000000000000000000010001000000011000000000000100000000000"
"301",301,"0001110000010100010011111000000011110101100000100000010100001010000100010000000000011000000000001000"
"302",302,"0011010100111110111111101100110100111110100100111110111101111110011101111101010101100111001001100111"
"303",303,"1110111110111001111111111111010001110100111011001100111111111000010010001010001101001101011000111000"
"304",304,"0000000100000010001010000000000000000000100000001000000000000000000000000001000000000000010000001001"
"305",305,"1011000010011111011111011111101110110010111100111010011111011110111011101001001101000001101110000100"
"306",306,"1011110110111110111111111111101100010000011001111111100111011110010111111011100011010111000000001101"
"307",307,"0010000000101010000000000100100000000000000000001100001000000011000000000000010000001001000000000000"
"308",308,"0000000100000001000001100000000000000000000000001000010000000000000000000000000001000000000001000000"
"309",309,"0011100100100001011011010000100000101100000011101100110110101010100001010000101001000110000000010001"
"310",310,"0000000000000011000000010000000000000001010000000000010000000010010100001001000001000000000000000000"
"311",311,"1111011110111100111101111111110011111100101011101011111111111110111010111001000001011111111000111111"
"312",312,"0001010100011000000011010001100000000000000000101000001010000000101100010001000101011111010000100001"
"313",313,"0000000000101000000110111000000000000001110010010000000000000000000100000000000000000000010000000000"
"314",314,"1011100110110000011111011001010100100101011110001110110100001111110101011101000111001101100111000011"
"315",315,"1011110110110000011111011111100000001101010010101100010101111000111000101010011101011101000011010101"
"316",316,"1101011111111110111111111111110111111101111111111111111111111110111111111111111111100111100011111111"
"317",317,"0010000100010100001101011000000000010101100000101100010111001001001000101000000010010001100001000000"
"318",318,"1011000111101101011011010101100010101100100100101010100110001011000101101010000001010001011101111001"
"319",319,"1001101100010101001010111111100000100010010010101000010101010010111100001000000101000001000001010000"
"320",320,"1111001110111101110111011111110011110010100111111111001111111110111001110111001001001111111010110101"
"321",321,"1011101111111111011111011111111110111001111010111011100111111111111111111011011011011101101101111101"
"322",322,"1000000000000000000100010000000000100000100000001000010000001000000000000000000100000001000000001000"
"323",323,"0000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000"
"324",324,"0010000010000001010010101110000000001000010010011100011100001001000000011011000001000100000011000000"
"325",325,"0111100111111011111111111111111101011011101110111011110111111111111111111101111101111011110011011111"
"326",326,"1000100100000110100010000100000000000001000000110000010100000001000100010001000000001101100000000000"
"327",327,"0000000000000100001000000100000000000000010000000100000110100000000000000000000000010000000000000000"
"328",328,"1001010110111100011111111111100000001010000010111101100111001110000100101001000101011001000101110000"
"329",329,"1111111110111111111111011111111111011001111001111011111111111111110111101110111111111111101101111111"
"330",330,"0000000110111110010001011101000000000000000011011010101110001111001100010011001001010001100001011100"
"331",331,"1011000110111101111011011100101010001001110110011110111110111011011111111111111001101011100001010111"
"332",332,"0111110110111111011111111101000110011010011101111011101110001101100111111111101101111111110111111111"
